sku,count,width,height,depth
14130,59,40.0,20.0,65.0
3614,59,29.0,29.0,46.0
24901,59,56.0,46.0,20.0
27807,59,14.0,20.0,32.0
23045,59,11.0,5.0,20.0
17772,59,46.0,27.0,45.0
9017,58,34.0,26.0,42.0
16044,58,60.0,69.0,15.0
16967,58,10.0,10.0,33.0
4015,58,9.0,7.0,16.0
8703,58,12.0,24.0,30.0
27182,58,24.0,7.0,29.0
14495,58,40.0,7.0,16.0
13015,58,7.0,6.0,45.0
27644,58,18.0,8.0,11.0
22252,58,16.0,13.0,21.0
16240,58,10.0,3.0,6.0
26991,58,19.0,10.0,20.0
23172,58,30.0,26.0,25.0
21212,58,13.0,9.0,3.0
9307,58,68.0,68.0,68.0
29358,58,53.0,69.0,13.0
17714,58,11.0,20.0,21.0
11053,58,13.0,5.0,19.0
17548,58,26.0,6.0,26.0
4983,58,15.0,5.0,13.0
10613,58,19.0,12.0,15.0
30241,58,41.0,35.0,21.0
24152,58,21.0,3.0,10.0
5999,58,17.0,3.0,8.0
5161,58,40.0,20.0,59.0
31618,58,10.0,10.0,10.0
23983,58,10.0,2.0,13.0
4201,57,28.0,10.0,34.0
13265,57,36.0,5.0,35.0
16225,57,18.0,69.0,55.0
12594,57,23.0,19.0,28.0
20522,57,33.0,22.0,27.0
18992,57,23.0,5.0,27.0
21146,57,36.0,19.0,55.0
9699,57,8.0,4.0,21.0
24492,57,17.0,24.0,21.0
2953,57,18.0,10.0,24.0
23755,57,10.0,10.0,10.0
19707,56,12.0,20.0,1.0
4455,56,32.0,61.0,41.0
5854,56,10.0,8.0,9.0
29346,56,69.0,69.0,14.0
11793,56,36.0,17.0,57.0
12989,56,22.0,7.0,31.0
28680,56,46.0,13.0,38.0
21211,56,17.0,1.0,19.0
10719,56,23.0,7.0,30.0
13013,56,20.0,24.0,24.0
2636,56,6.0,1.0,12.0
26278,56,20.0,16.0,66.0
2008,56,32.0,12.0,14.0
14554,56,69.0,30.0,14.0
16789,56,6.0,10.0,8.0
20876,56,9.0,6.0,37.0
23597,56,21.0,12.0,35.0
28697,56,39.0,9.0,30.0
12900,56,42.0,33.0,40.0
12865,56,26.0,11.0,27.0
6169,56,44.0,6.0,34.0
24072,56,27.0,10.0,26.0
26759,56,10.0,10.0,10.0
